iter	MultiClass
181	0.899622238
182	0.898936427
183	0.8981283483
184	0.8975966665
185	0.8971995436
186	0.8965922284
187	0.8962408866
188	0.8956273605
189	0.8951804629
190	0.8949240687
191	0.8944227123
192	0.8939933217
193	0.8934779571
194	0.89323602
195	0.8928348558
196	0.8924535556
197	0.8919768613
198	0.8915893926
199	0.8911964978
200	0.8909304145
201	0.8905486631
202	0.8901670897
203	0.889836778
204	0.8893958516
205	0.8888773165
206	0.8885699172
207	0.8881856437
208	0.8875647216
209	0.8872940527
210	0.8869417163
211	0.886557348
212	0.885898135
213	0.88531367
214	0.8848657272
215	0.8844924449
216	0.8841330452
217	0.8838164195
218	0.8832950013
219	0.8829743873
220	0.8824282529
221	0.8818267413
222	0.8815772576
223	0.8811807385
224	0.8807710734
225	0.880339501
226	0.8800189427
227	0.8796754667
228	0.8794506188
229	0.8791324008
230	0.8787173902
231	0.8784184479
232	0.8780978212
233	0.8779204011
234	0.8774171917
235	0.8769468362
236	0.8766560637
237	0.8763434561
238	0.876066379
239	0.8759142096
240	0.8757135675
241	0.8753548968
242	0.8750430527
243	0.8747675145
244	0.8743807793
245	0.8741201134
246	0.8738392862
247	0.8736280272
248	0.873344457
249	0.873071293
250	0.8725736893
251	0.8722812568
252	0.8717124052
253	0.8714862971
254	0.8712661498
255	0.8709854498
256	0.8705459856
257	0.870314126
258	0.8699148875
259	0.8695301809
260	0.8692258046
261	0.8689651471
262	0.868685646
263	0.8683510888
264	0.868102875
265	0.8678924297
266	0.8677034599
267	0.8672979652
268	0.8670155658
269	0.8667803811
270	0.8665831772
271	0.8662942162
272	0.8660285159
273	0.8658061018
274	0.8655058824
275	0.8653035162
276	0.8647768366
277	0.864485427
278	0.8642360755
279	0.8640116874
280	0.8637763922
281	0.8633516395
282	0.8630911655
283	0.8628842474
284	0.8626308935
285	0.8622397816
286	0.862050102
287	0.8617252423
288	0.8614552449
289	0.8613219679
290	0.8610941387
291	0.8608042945
292	0.8605955792
293	0.8603784409
294	0.8600683211
295	0.8599189686
296	0.8594680858
297	0.859249137
298	0.8591408033
299	0.8589624483
300	0.8587030316
301	0.8585274069
302	0.8582843833
303	0.857950429
304	0.8577029616
305	0.8575401574
306	0.85728104
307	0.8570932316
308	0.8568204481
309	0.8565671943
310	0.8563248324
311	0.8561719126
312	0.8559638761
313	0.8557190897
314	0.8553074012
315	0.8550821134
316	0.854804196
317	0.8546064442
318	0.8544465874
319	0.8542839914
320	0.8540829218
321	0.8538129019
322	0.8536174831
323	0.8534454312
324	0.8532814265
325	0.8531432969
326	0.8529972944
327	0.8527735414
328	0.8525253843
329	0.852348249
330	0.8521232894
331	0.8519074054
332	0.8516386655
333	0.8514997144
334	0.8512879832
335	0.8510598441
336	0.8509053016
337	0.8507198174
338	0.8505389521
339	0.8503223844
340	0.8500953321
341	0.8499541498
342	0.8497807092
343	0.8495858199
344	0.8493480539
345	0.8490804136
346	0.8488080691
347	0.8486956624
348	0.8485749418
349	0.8485121733
350	0.8483739807
351	0.8482667755
352	0.8481592706
353	0.8480161248
354	0.8477475314
355	0.8475715293
356	0.8473738448
357	0.8470692782
358	0.8467247593
359	0.8465498563
360	0.8463902219
361	0.8462041885
362	0.8460720039
363	0.8459124815
364	0.8457215468
365	0.8455016465
366	0.8453706225
367	0.8451571925
368	0.8450009816
369	0.8448007556
370	0.8445317651
371	0.8443225919
372	0.8439896414
373	0.843881625
374	0.8437831553
375	0.8435584266
376	0.8434532951
377	0.8433524869
378	0.8431046307
379	0.8429031638
380	0.8427221393
381	0.8425088623
382	0.842371116
383	0.8422441949
384	0.8420220646
385	0.8418874089
386	0.8416540306
387	0.8414199629
388	0.8412583417
389	0.8410761559
390	0.8407715808
391	0.8405632703
392	0.8404730367
393	0.8401956871
394	0.8400543285
395	0.8398545277
396	0.8396672208
397	0.8394785803
398	0.8391960353
399	0.8390438189
400	0.8388903428
401	0.83859081
402	0.8383247399
403	0.8381805172
404	0.8379523396
405	0.8377080107
406	0.8375037178
407	0.8372371555
408	0.8371088932
409	0.8369718317
410	0.8368166195
411	0.8366084989
412	0.8364266367
413	0.8362687601
414	0.8361154572
415	0.8359136885
416	0.83571201
417	0.835610297
418	0.8353886894
419	0.8352293794
420	0.8350433247
421	0.8349493137
422	0.8348313932
423	0.8346570092
424	0.8345942028
425	0.8344343063
426	0.834303408
427	0.8341638783
428	0.8340182429
429	0.8339375906
430	0.833703537
431	0.8334841994
432	0.8333122898
433	0.8330534137
434	0.8328443778
435	0.8326827983
436	0.8325254131
437	0.8322750639
438	0.8320507874
439	0.8318189223
440	0.8316506436
441	0.8315813534
442	0.8314327509
443	0.8312249217
444	0.8309993141
445	0.8308157563
446	0.8306438546
447	0.830512404
448	0.8303631338
449	0.8302556057
450	0.8301113
451	0.8299853018
452	0.8298415388
453	0.829698834
454	0.8294439983
455	0.829286801
456	0.8290132823
457	0.8288633202
458	0.8287050106
459	0.8285897528
460	0.8284573479
461	0.8283117095
462	0.8281856843
463	0.8280570472
464	0.827924118
465	0.8276992475
466	0.8275418342
467	0.8273213337
468	0.8271329023
469	0.8269245933
470	0.8267667512
471	0.8264943309
472	0.8263428912
473	0.8261899199
474	0.8258835324
475	0.825763212
476	0.8256521757
477	0.8255032845
478	0.8253917602
479	0.8253014874
480	0.8251122417
481	0.8249042241
482	0.8247189122
483	0.8244478577
484	0.8241767961
485	0.8240582877
486	0.8236574115
487	0.8235795123
488	0.823434326
489	0.8232874438
490	0.8230413456
491	0.8228047047
492	0.8226403582
493	0.8224915408
494	0.8222644839
495	0.8220326635
496	0.8218854358
497	0.8217301622
498	0.8215498385
499	0.8214289783
500	0.8212191981
501	0.821039189
502	0.8209480978
503	0.8206980997
504	0.8204862251
505	0.8203236688
506	0.8201521609
507	0.8199720659
508	0.819768974
509	0.8196479151
510	0.8195545063
511	0.8193111902
512	0.819181843
513	0.8190019029
514	0.8188441731
515	0.8187095333
516	0.8184199962
517	0.8182450598
518	0.8179497079
519	0.8177760516
520	0.8175563105
521	0.8174371737
522	0.8172986648
523	0.8171083138
524	0.8168844382
525	0.816747864
526	0.8166454622
527	0.8164230639
528	0.8162674386
529	0.8161368181
530	0.815931771
531	0.8158127048
532	0.8155667932
533	0.8154139652
534	0.8152215706
535	0.8151284587
536	0.8149765335
537	0.8149054858
538	0.8147545979
539	0.8144954226
540	0.8143382229
541	0.8141799019
542	0.8140150241
543	0.8137672276
544	0.8136512504
545	0.8134723448
546	0.8133163604
547	0.8131823099
548	0.8130180114
549	0.8128817057
550	0.8127157776
551	0.8125669366
552	0.8124196256
553	0.8122902811
554	0.8121876823
555	0.8120174734
556	0.8118992412
557	0.8117580359
558	0.8115782138
559	0.8114948349
560	0.8113265469
561	0.8110095683
562	0.8108590957
563	0.8106733043
564	0.8105274678
565	0.8102430256
566	0.8101161244
567	0.8099913933
568	0.8098873681
569	0.8097297119
570	0.8096124343
571	0.8094075342
572	0.8092631633
573	0.8090825326
574	0.8088798387
575	0.8086685524
576	0.8084704959
577	0.8083447921
578	0.8080757061
579	0.8079336613
580	0.8077290445
581	0.807676442
582	0.8074564637
583	0.8072824652
584	0.8071584086
585	0.806968846
586	0.8067716271
587	0.8066383471
588	0.8064820703
589	0.8063456445
590	0.8062415465
591	0.8060816641
592	0.8058723796
593	0.8056615332
594	0.8054929156
595	0.8053446453
596	0.8051600925
597	0.8050159999
598	0.8048441412
599	0.8046736125
600	0.8045308551
601	0.8043442749
602	0.8041728637
603	0.8039940006
604	0.8038373608
605	0.8036296765
606	0.8034702924
607	0.8033208707
608	0.8031550347
609	0.8029935558
610	0.8028084781
611	0.8026562653
612	0.802531812
613	0.8023956886
614	0.8022145433
615	0.8020994641
616	0.8018635768
617	0.8017109074
618	0.8015666211
619	0.8014642035
620	0.8012679458
621	0.8010868777
622	0.8009175972
623	0.8007589082
624	0.800572855
625	0.8004371048
626	0.8003139392
627	0.8001917233
628	0.8000578951
629	0.799927784
630	0.7997854268
631	0.799661323
632	0.7995554236
633	0.7994234126
634	0.7992689695
635	0.7990215662
636	0.7988812152
637	0.7986606027
638	0.7985076296
639	0.7983106941
640	0.7981447124
641	0.7979726726
642	0.7978406726
643	0.7977188312
644	0.7975307816
645	0.7973226727
646	0.79720052
647	0.7970986461
648	0.7969610513
649	0.7968253555
650	0.7966573636
651	0.7964988116
652	0.7963482856
653	0.7961787959
654	0.7960252191
655	0.7958337315
656	0.7956287823
657	0.7955092793
658	0.7953693635
659	0.7951913116
660	0.7951159108
661	0.7949730251
662	0.79488158
663	0.7948156203
664	0.7946527453
665	0.7945292153
666	0.7944404121
667	0.7942573993
668	0.7940711092
669	0.793951871
670	0.7937814167
671	0.7936443789
672	0.7934972679
673	0.7932973969
674	0.7930979411
675	0.7928869347
676	0.7927417597
677	0.7925600095
678	0.7924520804
679	0.7922713913
680	0.7920797462
681	0.791881785
682	0.7917490028
683	0.791516967
684	0.7914569502
685	0.7912762848
686	0.7911547361
687	0.7911027068
688	0.7909952987
689	0.7908983981
690	0.7907311207
691	0.7906010392
692	0.790498388
693	0.7903543946
694	0.7902219274
695	0.7901608489
696	0.7901074929
697	0.7900204442
698	0.7898448852
699	0.7896811787
700	0.7895385946
701	0.7894456107
702	0.7892862503
703	0.7890984426
704	0.7889783862
705	0.7887784003
706	0.7887132406
707	0.7885365728
708	0.788411649
709	0.7883089991
710	0.7881915332
711	0.7880942036
712	0.7879982674
713	0.7878235458
714	0.7876591918
715	0.7875100404
716	0.7873499459
717	0.7872313123
718	0.7870800649
719	0.786959068
720	0.7868105134
721	0.7867470962
722	0.7866962133
723	0.7865884487
724	0.7864218123
725	0.7862617566
726	0.786121109
727	0.7860259206
728	0.7859136689
729	0.7857762131
730	0.7856196934
731	0.7854694392
732	0.7852994476
733	0.7851704836
734	0.7850290862
735	0.7849416156
736	0.7848626766
737	0.784743777
738	0.7845963286
739	0.7844574854
740	0.7842674299
741	0.7841893456
742	0.7841196846
743	0.7840386759
744	0.7839290144
745	0.7838239929
746	0.7837077845
747	0.7835811473
748	0.7835191819
749	0.7833744367
750	0.7832587369
751	0.7831234743
752	0.782965272
753	0.7828099517
754	0.7827239846
755	0.7825989739
756	0.7824838199
757	0.7823891033
758	0.7823203544
759	0.7821545817
760	0.7820074431
761	0.7819258197
762	0.7817472569
763	0.7815226339
764	0.7813885088
765	0.7812509616
766	0.781107717
767	0.7809966406
768	0.7808388541
769	0.7806572117
770	0.7805446659
771	0.7803938786
772	0.7802713593
773	0.7801306926
774	0.7800135963
775	0.7798445093
776	0.779708139
777	0.7795680445
778	0.7794403744
779	0.7792504007
780	0.7791015677
781	0.7788709575
782	0.7787043448
783	0.778595568
784	0.7784335519
785	0.7783169314
786	0.7781421877
787	0.7779963762
788	0.7779017934
789	0.7777708038
790	0.7776908772
791	0.7776007109
792	0.7774926961
793	0.7774097245
794	0.7772657301
795	0.7770958206
796	0.7770371331
797	0.7769057944
798	0.7767502331
799	0.7766998275
800	0.7765188671
801	0.7763694509
802	0.776218274
803	0.7761460191
804	0.7759814985
805	0.77577354
806	0.7756187303
807	0.7755054753
808	0.7753752765
809	0.7752999942
810	0.7752246092
811	0.7750736173
812	0.7749221005
813	0.7747930926
814	0.7746705585
815	0.7745283138
816	0.774373363
817	0.7742336429
818	0.7741745088
819	0.774071236
820	0.7739107163
821	0.7738170607
822	0.773705288
823	0.7736013239
824	0.7735328554
825	0.773394072
826	0.7732531315
827	0.7732014641
828	0.773092782
829	0.7729196743
830	0.7727762946
831	0.7726713212
832	0.7725344328
833	0.7724024836
834	0.7723066754
835	0.7722058779
836	0.7720472293
837	0.7719551937
838	0.7718118995
839	0.7716635203
840	0.7715010544
841	0.7713971596
842	0.7713366296
843	0.7711799058
844	0.7710512116
845	0.7709194416
846	0.7707496814
847	0.7706360058
848	0.7705255491
849	0.770433951
850	0.7703684058
851	0.770271777
852	0.7702000679
853	0.7700588618
854	0.7699049831
855	0.769809326
856	0.7697599757
857	0.7696215624
858	0.7694656352
859	0.7693195826
860	0.7691988389
861	0.7689732787
862	0.768895849
863	0.7687469002
864	0.7686455668
865	0.768490677
866	0.7683752266
867	0.7682349024
868	0.7681370439
869	0.7679581663
870	0.7678247827
871	0.7677536102
872	0.767686357
873	0.7675486106
874	0.7674595926
875	0.7673327222
876	0.7672244659
877	0.7671220659
878	0.7669672045
879	0.7667952079
880	0.766606047
881	0.7664592183
882	0.7663196985
883	0.7662238677
884	0.7660815236
885	0.7659882026
886	0.7658314102
887	0.7657399528
888	0.7656443297
889	0.7655272213
890	0.765448294
891	0.7653810193
892	0.765280872
893	0.7651799151
894	0.764994442
895	0.7648625288
896	0.7647191346
897	0.7645580669
898	0.7644037461
899	0.7642383087
900	0.7641411128
901	0.7639949757
902	0.7638756309
903	0.7637896625
904	0.7636776107
905	0.7634634127
906	0.7633997547
907	0.7633040636
908	0.7632181293
909	0.7631143542
