iter	Passed	Remaining
402	9673	12169
403	9696	12145
404	9719	12118
405	9742	12094
406	9767	12071
407	9791	12046
408	9813	12020
409	9836	11995
410	9859	11970
411	9881	11943
412	9905	11920
413	9927	11893
414	9950	11868
415	9978	11850
416	10006	11829
417	10033	11809
418	10062	11791
419	10088	11769
420	10114	11747
421	10140	11726
422	10167	11705
423	10190	11680
424	10212	11653
425	10235	11628
426	10260	11606
427	10286	11584
428	10314	11565
429	10343	11545
430	10374	11529
431	10400	11507
432	10426	11486
433	10451	11462
434	10474	11437
435	10499	11414
436	10521	11387
437	10548	11366
438	10575	11346
439	10601	11324
440	10628	11303
441	10655	11282
442	10681	11260
443	10707	11238
444	10732	11214
445	10757	11191
446	10781	11167
447	10805	11143
448	10830	11120
449	10857	11098
450	10882	11075
451	10906	11051
452	10932	11029
453	10958	11006
454	10983	10983
455	11010	10961
456	11034	10937
457	11056	10911
458	11080	10887
459	11107	10866
460	11133	10843
461	11161	10823
462	11195	10808
463	11225	10789
464	11253	10769
465	11280	10747
466	11304	10723
467	11328	10698
468	11349	10672
469	11377	10650
470	11402	10628
471	11427	10604
472	11452	10580
473	11476	10556
474	11505	10536
475	11531	10514
476	11557	10490
477	11578	10464
478	11605	10442
479	11626	10415
480	11651	10391
481	11671	10364
482	11692	10336
483	11711	10308
484	11733	10282
485	11755	10256
486	11778	10230
487	11799	10203
488	11821	10177
489	11840	10149
490	11867	10127
491	11891	10103
492	11916	10079
493	11940	10055
494	11965	10031
495	11989	10007
496	12013	9983
497	12034	9955
498	12054	9928
499	12074	9900
500	12094	9873
501	12114	9846
502	12134	9818
503	12154	9791
504	12179	9767
505	12200	9741
506	12223	9715
507	12247	9692
508	12270	9666
509	12293	9642
510	12316	9616
511	12338	9591
512	12362	9566
513	12382	9540
514	12402	9512
515	12422	9485
516	12443	9458
517	12463	9432
518	12484	9405
519	12504	9378
520	12526	9352
521	12546	9325
522	12567	9299
523	12587	9272
524	12609	9247
525	12629	9220
526	12650	9193
527	12671	9167
528	12696	9144
529	12719	9119
530	12743	9095
531	12765	9070
532	12788	9045
533	12812	9021
534	12834	8996
535	12853	8969
536	12874	8942
537	12892	8914
538	12913	8888
539	12934	8862
540	12954	8835
541	12974	8809
542	12993	8782
543	13016	8757
544	13040	8733
545	13063	8708
546	13085	8683
547	13109	8659
548	13131	8634
549	13153	8609
550	13172	8582
551	13193	8556
552	13212	8529
553	13235	8504
554	13260	8481
555	13280	8455
556	13299	8428
557	13320	8402
558	13339	8376
559	13358	8349
560	13380	8323
561	13404	8300
562	13425	8274
563	13447	8249
564	13471	8225
565	13494	8201
566	13517	8177
567	13540	8152
568	13562	8128
569	13583	8102
570	13604	8076
571	13626	8052
572	13646	8025
573	13667	8000
574	13687	7974
575	13709	7949
576	13733	7925
577	13755	7900
578	13777	7876
579	13800	7852
580	13823	7827
581	13843	7801
582	13866	7777
583	13886	7751
584	13906	7725
585	13926	7699
586	13948	7675
587	13970	7650
588	13990	7624
589	14009	7598
590	14029	7572
591	14049	7547
592	14070	7521
593	14090	7496
594	14111	7471
595	14132	7445
596	14153	7420
597	14173	7395
598	14201	7373
599	14229	7351
600	14257	7330
601	14283	7308
602	14311	7286
603	14339	7264
604	14366	7242
605	14393	7220
606	14417	7196
607	14442	7173
608	14467	7150
609	14493	7128
610	14518	7104
611	14543	7081
612	14567	7058
613	14592	7034
614	14616	7011
615	14640	6987
616	14665	6964
617	14690	6941
618	14713	6917
619	14736	6892
620	14761	6869
621	14786	6846
622	14810	6822
623	14835	6799
624	14861	6776
625	14887	6754
626	14911	6730
627	14936	6707
628	14960	6683
629	14984	6659
630	15007	6635
631	15031	6611
632	15053	6587
633	15078	6564
634	15103	6540
635	15130	6518
636	15161	6497
637	15188	6475
638	15215	6453
639	15247	6432
640	15277	6411
641	15304	6388
642	15327	6364
643	15351	6340
644	15376	6317
645	15401	6294
646	15424	6269
647	15449	6246
648	15474	6223
649	15498	6199
650	15520	6174
651	15543	6150
652	15565	6126
653	15589	6102
654	15616	6079
655	15643	6057
656	15670	6034
657	15697	6011
658	15726	5989
659	15750	5966
660	15776	5942
661	15800	5919
662	15823	5895
663	15845	5870
664	15869	5846
665	15891	5822
666	15914	5797
667	15936	5773
668	15959	5749
669	15985	5726
670	16011	5703
671	16037	5680
672	16063	5656
673	16091	5634
674	16119	5612
675	16146	5589
676	16174	5566
677	16201	5543
678	16224	5519
679	16247	5495
680	16270	5471
681	16295	5447
682	16321	5424
683	16346	5401
684	16371	5377
685	16396	5353
686	16419	5329
687	16441	5305
688	16464	5281
689	16487	5256
690	16522	5236
691	16548	5213
692	16574	5190
693	16602	5167
694	16629	5144
695	16653	5120
696	16678	5096
697	16702	5073
698	16729	5050
699	16756	5026
700	16781	5003
701	16808	4980
702	16831	4955
703	16854	4931
704	16877	4907
705	16901	4883
706	16923	4859
